frames.TimeConstraintsPage	protected void createButtonsPanel() 	userInterface	B1	1/3
frames.UserInterface	public void goToIntroPageAdmin() 	introPageAdmin	B1	1/3
frames.UserInterface	public void goToOutputAlgorithmRunChooserPage(java.lang.String) 	outputAlgorithmRunChooserPage	B1	1/3
frames.UserInterface	public void goToOutputAlgorithmRunPage(java.lang.String, int) 	outputAlgorithmRunPage	B1	1/3
frames.UserInterface	public void goToOutputDecisionVariablesKnownSolutionsPage(java.lang.String) 	outputDecisionVariableKnownSolutionsPage	B1	1/3
frames.UserInterface	public void goToOutputOptimizationCriteriaKnownSolutionsPage(java.lang.String) 	outputOptimizationCriteriaKnownSolutionsPage	B1	1/3
frames.IntroPage	protected void createButtonsPanel() 	userInterface	B1	1/2
frames.IntroPageAdmin	protected void createMainPanel() 	userInterface	B1	1/2
frames.OutputAlgorithmRunChooserPage	private void constructPage() 	count	B7	1/2
frames.OutputIntroPage	private void constructPage() 	count	B7	1/2
frames.UserInterface	public ArrayList<objects.OptimizationCriteria> createOptimizationCriteriaFinalList() 	problem	B2	1/2
frames.UserInterface	public void goToEmailPage() 	emailPage	B1	1/2
frames.DecisionVariablesPage	protected void createButtonsPanel() 	userInterface	B1	2/4
frames.HomePage	protected void createButtonsPanel() 	userInterface	B1	2/4
frames.IntroPage	protected void createMainPanel() 	userInterface	B3	2/4
frames.OptimizationCriteriaPage	protected void createButtonsPanel() 	userInterface	B1	2/4
frames.OutputAlgorithmRunChooserPage	protected void createMainPanel() 	userInterface	B1	2/4
frames.SuperPage	protected void createButtonsPanel() 	userInterface	B1	2/4
frames.OutputAlgorithmRunChooserPage	private void constructPage() 	userInterface	B1	12/15
frames.OutputAlgorithmRunChooserPage	private void constructPage() 	userInterface	B4	8/11
frames.OutputAlgorithmRunChooserPage	private void constructPage() 	userInterface	B5	7/10
frames.OutputAlgorithmRunChooserPage	private void constructPage() 	userInterface	B6	6/9
frames.OutputAlgorithmRunChooserPage	private void constructPage() 	userInterface	B7	3/6
frames.OutputAlgorithmRunChooserPage	private void constructPage() 	userInterface	B8	2/5
frames.OutputIntroPage	private void constructPage() 	userInterface	B1	11/12
frames.OutputIntroPage	private void constructPage() 	userInterface	B4	7/8
frames.OutputIntroPage	private void constructPage() 	userInterface	B5	6/7
frames.OutputIntroPage	private void constructPage() 	userInterface	B6	5/6
frames.OutputIntroPage	private void constructPage() 	userInterface	B7	2/3
frames.OutputIntroPage	private void constructPage() 	userInterface	B8	1/2
